order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
22,federal,,row,Assets,Financial,Depository Institution Loans (NEC),FL713068005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490411,142832,98057,30490,556,97,0,0
23,federal,,row,Assets,Financial,Corporate Equities,FL713064103.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25106,26385,0,0,0,0,0
24,federal,,row,Assets,Financial,Nonofficial Foreign Currencies (swaps with other central banks),FL713091103.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,553728,10272,75,99823,8889,272,1528,997
25,federal,,row,Assets,Financial,Unidentified Miscellaneous Assets,FL713093005.Q,3045,3526,3954,3947,4860,8523,8035,7734,9907,9401,7196,6046,5572,7351,9564,9833,10737,11201,13217,16139,16798,19277,20305,19616,18231,18575,18143,17026,16474,15118,64568,81483,124030,190618,232825,233935,215771
26,federal,subtotal,row,Assets,Assets,Financial,FL714090005.Q,166656,173726,181901,194259,203665,218245,243163,275083,285836,304881,314704,342296,364603,381738,423836,452082,471896,495199,533975,566836,696855,635935,682958,753649,796839,841276,878659,908219,950931,2270739,2266204,2451665,2945238,2954962,4073767,4555387,4542112
27,federal,,row,Assets,Nonfinancial (excluding land),Structures,FL715013665.Q,662,758,846,926,955,996,1062,1155,1286,1364,1449,1509,1544,1605,1704,1836,2085,2436,2819,3391,4184,4718,5115,5258,5419,5998,6612,7206,7713,8198,7796,7675,7825,7842,7926,7990,8034
28,federal,,row,Assets,Nonfinancial (excluding land),Equipment,FL715013265.Q,175,200,244,282,314,342,385,427,430,464,497,531,560,617,937,1318,1957,2438,2973,3287,3868,3861,3434,2990,2691,2582,2356,2278,2177,2122,2045,2024,1990,2010,1977,1987,2001
29,federal,,row,Assets,Nonfinancial (excluding land),Intellectual Property Products,FL715013765.Q,17,22,30,37,42,40,44,44,45,49,60,81,95,117,175,216,288,311,352,363,448,497,483,498,516,599,577,649,678,669,749,769,755,828,813,837,874
30,federal,subtotal,row,Assets,Assets,Nonfinancial (excluding land),FL712010095.Q,854,980,1120,1245,1311,1378,1491,1626,1761,1877,2006,2121,2199,2339,2816,3370,4330,5185,6144,7041,8500,9076,9032,8746,8626,9179,9545,10133,10568,10989,10590,10468,10570,10680,10716,10814,10909
31,federal,,total_row,Assets,Assets,Assets (excluding land),Nonfinancial + Financial,167510,174706,183021,195504,204976,219623,244654,276709,287597,306758,316710,344417,366802,384077,426652,455452,476226,500384,540119,573877,705355,645011,691990,762395,805465,850455,888204,918352,961499,2281728,2276794,2462133,2955808,2965642,4084483,4566201,4553021
