order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
21,state_local,,row,ASSETS,Debt Securities,Corporate and Foreign Bonds,FL213063003.Q,0,0,0,0,250,2875,6625,9062,11063,12501,14001,15501,16938,19312,23613,29200,35730,45872,49753,56434,67653,78947,89948,99212,107316,114218,122831,135359,152817,158375,152243,158180,164611,163513,165032,169455,172527,180909
22,state_local,,row,ASSETS,Debt Securities,Corporate and Foreign Bonds (Pensions),FL223063045.Q,82063,90482,96785,104416,101813,99453,99829,108323,117592,131453,149842,153595,134043,154222,165381,169514,187618,202478,229672,264221,288017,310008,278142,262475,171488,237429,285580,394160,433168,484688,385783,369684,381552,412849,448112,495844,532432,564445
23,state_local,,row,ASSETS,Financial Assets,Debt Securities,FL214022005.Q + FL224022045.Q - FL213062003.Q - FL223062043.Q,245721,268660,308437,354476,393607,433251,507653,646760,752486,812189,882304,964351,987548,1035604,1082424,1105138,1060030,1050924,1037326,1136564,1293021,1414897,1515249,1536373,1522874,1700415,1787455,1985954,2243191,2259947,2035038,2045180,2075497,2052934,2083462,2132337,2148855,2241844
24,state_local,,row,ASSETS,Financial Assets,Trade Receivables,FL213070003.Q,24027,26900,31017,31687,32688,36415,38424,39528,43037,47514,52449,54533,56201,59795,62638,67321,72562,79590,84326,90879,99936,107549,113602,116701,122012,120348,133287,147300,155568,153737,136938,146117,154253,160418,168459,178748,187175,189167
25,state_local,,row,ASSETS,Financial Assets,Taxes Receivable,FL213078005.Q,15100,18437,18841,17907,20638,22893,24896,28227,29835,31755,35761,37313,37829,38810,36634,36063,37063,39128,42173,45401,55406,68363,68746,74275,73689,81018,95157,109642,116574,119634,119810,117081,119590,120364,122597,127608,137683,157689
26,state_local,,row,ASSETS,Financial Assets,Loans,FL213065005.Q + FL223065043.Q,28592,38408,49395,56420,63854,74298,83936,96893,107527,112351,117214,122666,128435,130961,125142,122807,128464,131186,136529,144030,152851,156180,151589,147378,150926,154807,159761,177250,203538,210798,198999,206987,215280,213370,213797,219684,224253,232562
27,state_local,,row,ASSETS,Loans,Mortgages,FL213065005.Q,19575,28113,37793,43194,49755,59363,68591,81696,92299,96714,102096,107423,112113,113895,110636,107866,112906,114862,119369,123349,128883,131439,131086,126612,128130,137052,148108,163996,186021,193684,187035,195200,204033,202672,204555,210037,213845,224235
28,state_local,,row,ASSETS,Loans,Mortgages (Pensions),FL223065043.Q,9017,10295,11602,13226,14099,14935,15345,15197,15228,15637,15118,15243,16322,17066,14506,14941,15558,16324,17160,20681,23968,24741,20503,20766,22796,17755,11653,13254,17517,17114,11964,11787,11247,10698,9242,9647,10408,8327
29,state_local,,row,ASSETS,Financial Assets,Corporate Equities,LM213064103.Q,0,0,0,0,0,0,0,0,500,1000,2500,4000,5500,7000,8500,10000,11427,36489,60139,93943,97972,96002,91334,83367,81649,98953,107289,119187,142900,127350,92532,105338,129128,132554,149287,170215,176458,181529
30,state_local,,row,ASSETS,Financial Assets,Corporate Equities (Pensions),LM223064145.Q,35908,38460,46506,44136,81807,87637,111742,147760,196669,196898,251759,282130,328790,391220,465277,494757,612334,762670,952228,1162493,1312387,1408895,1265772,1192749,1215260,1444746,1540028,1626350,1845558,1744796,1280306,1470978,1741497,1808668,1966848,2202968,2242999,2175751
31,state_local,,row,ASSETS,Financial Assets,Mutual Fund Shares,LM213064203.Q,0,0,0,0,0,0,0,0,0,0,500,3000,7000,12000,18000,25000,33450,39108,38824,32921,33606,32180,29736,26128,24987,32021,36616,42849,54191,50453,38363,46761,61346,63111,71729,82507,85722,88333
32,state_local,,row,ASSETS,Financial Assets,Mutual Fund Shares (Pensions),LM223064243.Q,0,0,0,0,0,0,0,6799,9277,8870,7614,8380,10273,15673,21158,27578,55761,66448,84676,106732,128360,155780,181102,178024,185115,215636,259498,287823,321758,243634,164004,181804,206179,115810,189198,233885,296686,286923
33,state_local,,row,ASSETS,Financial Assets,Unidentified Miscellaneous Assets,FL213093003.Q,229,154,270,172,429,1320,1692,9176,9655,7227,7651,10301,11373,11680,270,-5228,63015,32940,119593,180220,147148,132235,120894,87417,80865,75565,79767,86274,95586,97198,91670,93433,95369,98060,103444,110809,117494,125674
34,state_local,,row,ASSETS,Financial Assets,Other Miscellaneous Assets (Pensions),FL223093043.Q,0,35,105,202,351,439,404,680,765,483,3919,7829,4763,4741,4725,4074,4581,5438,5173,5916,6524,7232,9394,9921,10316,12017,55576,103875,110929,108666,76165,87917,106635,90533,101119,110010,122499,111762
35,state_local,subtotal,row,ASSETS,ASSETS,Financial Assets,FL214090005.Q + FL224090045 - FL223062043 - FL213062003 - FL223073045,435059,483678,544009,597336,696037,778816,931791,1159328,1346192,1431667,1582903,1723294,1814708,1948188,2075703,2140916,2327814,2545112,2882468,3346984,3724244,3997828,3968758,3869786,3894049,4384803,4742866,5218124,5881175,5741916,4903905,5171954,5618071,5602102,5943774,6387629,6597663,6673441
36,state_local,,row,ASSETS,Nonfinancial Assets (excluding land),Structures,FL215014665.Q,1157421,1345336,1541861,1670377,1708295,1743881,1809331,1910389,2029473,2134906,2235126,2357268,2447369,2522864,2655100,2782083,2974780,3120280,3286181,3440640,3674057,3949787,4189463,4437855,4669161,4984535,5644363,6298793,7065653,7518651,7923389,8049600,8435185,8914485,9166603,9479150,9701017,9876212
