order,government_type,style,type,name,parent,data_table,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
26,state_local,,row,Water supply,Promote the General Welfare,Number of Employees,,133605,133627,127046,138310,134728,139013,140660,134411,146743,148815,150224,153898,150734,157834,165037,165415,na,164374,167167,169424,173181,175988,170072,173934,175373,177980,179174,177706,185737,180673,179887,179713,179161,183099,181092
27,state_local,,row,Electric power,Promote the General Welfare,Number of Employees,,70519,72955,70114,75582,77364,78736,80520,79259,82174,80457,82425,83575,82326,83749,84575,82147,na,79689,78508,79159,80491,79197,78309,80713,80415,79528,78725,79697,80907,80344,80286,80166,79894,79258,78452
28,state_local,,row,Gas supply,Promote the General Welfare,Number of Employees,,9555,11862,9096,12080,9660,10090,9996,9179,10065,10265,10347,10248,9868,10384,10477,10630,na,9850,10240,11045,12299,12390,10746,11226,11085,13311,12867,12572,12013,11955,11187,10882,11472,11394,11285
29,state_local,,row,Transit,Promote the General Welfare,Number of Employees,,171985,171149,174094,182028,187791,192635,194956,200180,200667,206237,206791,208240,205969,197662,210007,210266,na,196786,198598,209876,216748,222934,237580,240246,238027,235451,234853,244361,244661,247811,245383,239863,231951,236222,243522
30,state_local,,row,State liquor stores,Promote the General Welfare,Number of Employees,,16121,16046,15436,14523,14105,14494,14326,12682,12522,12224,12167,12162,11089,10787,10458,10285,na,9363,8710,8492,8697,8807,9191,8959,9041,8777,8661,9166,9423,11837,11796,11810,11542,11283,11983
31,state_local,subtotal,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,Number of Employees,,7384284,7303382,7251854,7335519,7574078,7682216,7819042,7973958,8118502,8300193,8604170,8719875,8620561,9032070,9428432,9502642,na,9650560,9985617,10201826,10487153,10676296,10903860,11157029,11241042,11391411,11611577,11714325,11831382,11978810,11920495,11832864,11741602,11676333,11754848
32,state_local,,row,Education Total,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,,6840771,6767639,6729214,6791635,7021863,7104468,7239249,7397416,7510342,7683770,7958497,8072395,7949218,8358811,8722504,8782971,na,8958669,9275724,9486379,9738372,9909663,10137429,10384986,10466465,10609183,10817880,10914356,11018386,11172723,11128961,11062270,10983201,10904047,10969886
33,state_local,,row,Education - elementary and secondary total,Education Total,Number of Employees,,4867824,4814457,4754521,4789394,4970284,4993711,5089594,5241516,5287036,5375421,5572326,5669201,5599877,5834396,6184025,6252101,na,6408365,6652474,6787656,7011176,7115704,7242470,7480478,7540638,7651445,7823316,7875373,7916045,7981998,7913461,7800203,7710553,7637199,7660776
34,state_local,,row,Education - elementary and secondary instructional,Education - elementary and secondary total,Number of Employees,,3163551,3122542,3098579,3148952,3216818,3306016,3374552,3442341,3499948,3564640,3739506,3802485,3782055,3890635,4155809,4208390,na,4320463,4487767,4585637,4739152,4828859,4914775,5062048,5083219,5169097,5274378,5310152,5365784,5409086,5380014,5308748,5251562,5220178,5216004
35,state_local,,row,Education - elementary and secondary other,Education - elementary and secondary total,Number of Employees,,1704273,1691915,1655942,1640442,1753466,1687695,1715042,1799175,1787088,1810781,1832820,1866716,1817822,1943761,2028216,2043711,na,2087902,2164707,2202019,2272024,2286845,2327695,2418430,2457419,2482348,2548938,2565221,2550261,2572912,2533447,2491455,2458991,2417021,2444772
36,state_local,,row,Education - higher education total,Education Total,Number of Employees,,1867755,1853825,1879322,1908376,1953508,2010510,2049031,2057110,2122329,2203347,2277706,2297290,2243313,2410487,2430056,2414087,na,2450998,2516608,2589204,2612967,2679161,2787039,2803824,2830369,2860960,2896256,2939646,3001186,3095174,3121257,3168832,3179216,3173631,3216459
37,state_local,,row,Education - higher education instructional,Education - higher education total,Number of Employees,,654518,644854,646806,659023,683868,695859,704025,719396,749050,773319,804758,816031,788225,849655,858913,860326,na,869796,891678,920102,926914,947739,980877,990031,1005503,1014448,1043977,1045030,1065122,1100627,1111055,1135438,1133807,1118376,1132184
38,state_local,,row,Education - higher education other,Education - higher education total,Number of Employees,,1213237,1208971,1232516,1249353,1269640,1314651,1345006,1337714,1373279,1430028,1472948,1481259,1455088,1560832,1571143,1553761,na,1581202,1624930,1669102,1686053,1731422,1806162,1813793,1824866,1846512,1852279,1894616,1936064,1994547,2010202,2033394,2045409,2055255,2084275
39,state_local,,row,Education - other,Education Total,Number of Employees,,105192,99357,95371,93865,98071,100247,100624,98790,100977,105002,108465,105904,106028,113928,108423,116783,na,99306,106642,109519,114229,114798,107920,100684,95458,96778,98308,99337,101155,95551,94243,93235,93432,93217,92651
40,state_local,,row,Libraries,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,,96561,94410,98463,98512,107079,112604,116575,116689,123014,126429,132336,131784,133526,135071,148400,147497,na,155797,159818,166710,173923,180695,178150,183320,182040,184248,186640,188620,195524,194846,188583,184325,180784,185395,185153
41,state_local,,row,Parks and recreation,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,,219413,220139,239189,249409,250454,262937,268307,268028,289570,295239,311430,315256,317388,334864,346038,361103,na,330303,345195,342080,363626,370684,377353,380594,384256,389633,396971,407584,408070,407855,405249,393025,390281,399355,409724
42,state_local,,row,Natural resources,Secure the Blessings of Liberty to Ourselves and Our Posterity,Number of Employees,,227539,221194,184988,195963,194682,202207,194911,191825,195576,194755,201907,200440,220429,203324,211490,211071,na,205791,204880,206657,211232,215254,210928,208129,208281,208347,210086,203765,209402,203386,197702,193244,187336,187536,190085
43,state_local,subtotal,row,General Government and Other,Number of Employees,Number of Employees,,1465570,1376595,1094128,1106251,1121385,1107748,1145165,1227381,1192807,1212752,1238174,1242293,1349064,1257249,1321085,1336008,na,1332745,1330941,1402220,1456589,1468867,1357275,1390796,1399185,1419180,1452465,1372646,1445013,1345639,1317717,1272135,1320464,1316581,1332399
44,state_local,,row,Financial administration,General Government and Other,Number of Employees,,316416,319799,298348,305941,313557,320414,327620,310262,340089,338993,348505,361154,337767,359921,384866,388407,na,393712,397515,412463,421374,427120,417162,422834,427973,430988,437324,431660,451792,430316,419917,413724,415262,422823,427825
45,state_local,,row,Other government administration,General Government and Other,Number of Employees,,555330,538163,294073,322889,325327,340415,350214,271921,371526,342246,360851,366436,295784,340420,371312,412577,na,383691,394794,440534,476406,492499,424738,453774,461598,469783,488764,423895,460263,410278,397827,377760,416144,408574,412930
46,state_local,,row,All other and unallocable,General Government and Other,Number of Employees,,593824,518633,501707,477421,482501,446919,467331,645198,481192,531513,528818,514703,715513,556908,564907,535024,na,555342,538632,549223,558809,549248,515375,514188,509614,518409,526377,517091,532958,505045,499973,480651,489058,485184,491644
47,state_local,,total_row,Total Employees,Number of Employees,Number of Employees,,13315050,13102921,12993146,13159008,13493647,13669014,13913125,14121305,14475675,14764958,15263282,15451772,15422083,15824402,16468365,16625545,na,16732959,17089194,17506411,17976392,18272310,18348960,18649019,18759692,19004053,19326886,19385969,19692805,19689078,19526713,19301588,19188638,19107102,19230452
48,state_local,memo,data_table,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,state_local,,row,Note: Employees of Government-Run Businesses,Note,Note,,1817572,1809167,1809714,1822549,1808042,1796570,1805559,1797516,1845144,1858005,1892077,1903172,1900529,1874601,1912938,1902536,na,1815451,1775681,1797443,1805184,1812863,1808025,1810973,1813416,1831556,1839501,1918139,1939387,1939786,1913326,1875577,1874799,1882747,1899995
50,state_local,,footnotes,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,state_local,,footnote,"1)  Employment as of March of each year, includes both full and part time employment",Footnotes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
