order,government_type,style,type,data_table,parent,name,source,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
21,combined,,row,Assets,Debt Securities,Corporate and Foreign Bonds (Pensions),FL223063045.Q + FL343063033.Q,82063,90482,96785,104416,101813,99453,99829,108323,117592,131453,149842,153595,134043,154222,165381,169514,187618,202478,229672,264221,288017,310008,278142,262475,173313,239812,288340,396976,437466,488251,389326,372236,385279,417003,452304,500361,537531,569092
22,combined,,row,Assets,Financial Assets,Debt Securities,FL364022005.Q - FL213061105.Q - FL213062003.Q + FL343061733.Q + FL343063033.Q + FL223069143.Q + FL223061743.Q + FL223063045.Q,143063,168601,180361,196559,209682,214493,239919,255558,274378,305810,372056,391051,391960,422082,429818,459285,529152,546602,579087,664884,780630,910757,1007321,1048854,1018290,1181069,1167782,1314386,1452705,1501978,1486207,1485158,1421094,1302041,1301277,1343022,1346536,1367145
23,combined,,row,Assets,Financial Assets,Trade Receivables,FL313070000.Q + FL213070003.Q,34251,41343,48150,51539,57759,67472,74547,73741,83506,88064,96412,100623,95998,92146,91741,93881,95123,102881,106244,115184,125604,135216,151249,149181,170436,180184,202592,218408,222064,221175,182660,188862,202441,212424,219060,224339,236929,252955
24,combined,,row,Assets,Financial Assets,Taxes Receivable,FL313078005.Q + FL213078005.Q,30044,30650,20561,17907,22700,30829,36232,46596,49087,56252,59605,59812,54269,55789,55745,55643,60055,62116,132373,128301,134606,152063,150946,163675,168089,172418,185857,203942,218074,235134,251010,258981,271090,277164,286597,289308,315083,350789
25,combined,,row,Assets,Loans,Mortgages,FL313065005.Q + FL213065005.Q,52785,68519,83512,91758,99853,109248,121332,134831,141065,144280,149260,186451,215819,204460,183825,184559,174206,167092,165637,168149,206646,206705,205165,200408,200469,210327,223674,243635,267901,282553,296980,301764,312965,315219,318659,327308,330788,341728
26,combined,,row,Assets,Loans,Mortgages (Pensions),FL223065043.Q,9017,10295,11602,13226,14099,14935,15345,15197,15228,15637,15118,15243,16322,17066,14506,14941,15558,16324,17160,20681,23968,24741,20503,20766,22796,17755,11653,13254,17517,17114,11964,11787,11247,10698,9242,9647,10408,8327
27,combined,,row,Assets,Loans,Student Loans,FL313066220.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,7166,15529,25614,36992,46457,58542,70765,80449,83311,87140,91715,110459,115000,131000,183213,323981,472791,602207,720074,833020,936547,1038685
28,combined,,row,Assets,Loans,Policy Loans,FL313069403.Q,1095,1192,1262,1238,1190,1148,1110,1239,1568,1020,1009,983,970,937,893,880,919,946,952,942,926,911,879,828,771,718,675,642,609,574,541,506,465,426,384,345,308,270
29,combined,,row,Assets,Loans,U.S. Government Loans,FL313069205.Q - FL213169203.Q,94951,111398,129901,144181,151352,159640,171733,175261,166578,167034,152049,154547,141838,141222,138575,124035,131583,126107,129048,127516,126036,118559,113515,109280,106757,104645,93723,92442,92472,91012,157845,165197,164773,170888,176251,179263,177874,183353
30,combined,,row,Assets,Financial Assets,Loans,FL314023005.Q + FL213065005.Q + FL223065043.Q - FL213169203.Q,157848,191404,226277,250403,266494,284971,309520,326528,324439,327971,317436,357224,374949,363685,337799,324973,329432,325998,338411,354280,404033,409458,410827,411731,414104,420585,421440,460432,493499,522253,650543,803235,962241,1099438,1224610,1349583,1455925,1572363
31,combined,,row,Assets,Financial Assets,Corporate Equities,FL313064105.Q + LM213064103.Q,0,0,0,0,0,0,0,0,500,1000,2500,4000,5500,7000,8500,10000,11427,36489,60139,93943,97972,96002,91334,83367,81649,98953,107289,119187,142900,127350,251379,156152,188410,173712,184635,203816,209875,214886
32,combined,,row,Assets,Financial Assets,Corporate Equities (Pensions),FL343064133.Q + LM223064145.Q,35908,38460,46506,44136,81807,87637,111742,147760,196669,196898,251759,282130,328790,391220,465277,494757,612334,762670,952228,1162493,1312387,1408895,1265772,1194179,1230775,1460957,1557591,1644277,1864636,1759064,1291449,1482651,1750966,1818686,1977164,2213165,2251462,2184431
33,combined,,row,Assets,Financial Assets,Mutual Fund Shares,LM213064203.Q,0,0,0,0,0,0,0,0,0,0,500,3000,7000,12000,18000,25000,33450,39108,38824,32921,33606,32180,29736,26128,24987,32021,36616,42849,54191,50453,38363,46761,61346,63111,71729,82507,85722,88333
34,combined,,row,Assets,Financial Assets,Mutual Fund Shares (Pensions),LM223064243.Q,0,0,0,0,0,0,0,6799,9277,8870,7614,8380,10273,15673,21158,27578,55761,66448,84676,106732,128360,155780,181102,178024,185115,215636,259498,287823,321758,243634,164004,181804,206179,115810,189198,233885,296686,286923
35,combined,,row,Assets,Financial Assets,Nonofficial foreign currencies,FL313091105.Q,924,720,1820,1913,1875,2191,1874,920,925,590,705,674,1330,1624,2985,2410,2281,2065,2189,1978,2269,2436,2550,2593,2627,2627,2627,2627,2627,2627,2627,2627,2627,2626,2626,2626,2626,2626
36,combined,,row,Assets,Financial Assets,Equity in Private-Public Investment Program,FL313094303.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,5196,3056,0,0,0,0
37,combined,,row,Assets,Financial Assets,"U.S. equity in IBRD, etc.",FL313092803.Q,7292,8076,9031,10094,11335,12726,14152,15759,16802,18037,19282,20715,21976,23432,24608,25981,27424,29198,31037,32615,34132,35492,37282,38787,40235,42233,43534,45586,47368,48760,50358,52636,55285,57761,59966,62207,64610,66540
